pais_ingles,grupo,id_pergunta,pergunta,resposta,porcentagem
Austria,Lesbian,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Difficulty in gaining access to healthcare,2
Austria,Lesbian,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Having to change general practitioners or other specialists due to their negative reaction,8
Austria,Lesbian,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Receiving unequal treatment when dealing with medical staff,3
Austria,Lesbian,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Foregoing treatment for fear of discrimination or intolerant reactions,5
Austria,Lesbian,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Specific needs ignored (not taken into account),12
Austria,Lesbian,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Inappropriate curiosity,13
Austria,Lesbian,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Pressure or being forced to undergo any medical or psychological test,3
Austria,Lesbian,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",I have never accessed healthcare services,2
Austria,Lesbian,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",None of the above,68
Austria,Gay,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Difficulty in gaining access to healthcare,2
Austria,Gay,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Having to change general practitioners or other specialists due to their negative reaction,6
Austria,Gay,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Receiving unequal treatment when dealing with medical staff,8
Austria,Gay,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Foregoing treatment for fear of discrimination or intolerant reactions,6
Austria,Gay,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Specific needs ignored (not taken into account),8
Austria,Gay,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Inappropriate curiosity,11
Austria,Gay,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Pressure or being forced to undergo any medical or psychological test,4
Austria,Gay,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",I have never accessed healthcare services,1
Austria,Gay,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",None of the above,72
Austria,Bisexual women,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Difficulty in gaining access to healthcare,1
Austria,Bisexual women,c10,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?",Having to change general practitioners or other specialists due to their negative reaction,6
