pais_ingles,grupo,id_pergunta,pergunta,resposta,porcentagem
Austria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,35
Austria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,60
Austria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,5
Belgium,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,48
Belgium,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,37
Belgium,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,15
Bulgaria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,12
Bulgaria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,75
Bulgaria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,13
Cyprus,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,20
Cyprus,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,52
Cyprus,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,28
Czech Republic,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,33
Czech Republic,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,62
Czech Republic,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,5
Germany,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,47
Germany,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,49
Germany,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,4
Denmark,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,41
Denmark,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,55
Denmark,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,3
Estonia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,29
Estonia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,58
Estonia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,12
Greece,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,12
Greece,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,52
Greece,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,36
Spain,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,32
Spain,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,58
Spain,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,10
Finland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,47
Finland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,51
Finland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,2
France,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,40
France,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,52
France,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,8
Croatia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,16
Croatia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,74
Croatia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,10
Hungary,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,34
Hungary,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,54
Hungary,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,12
Ireland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,47
Ireland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,50
Ireland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,2
Italy,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,24
Italy,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,56
Italy,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,21
Lithuania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,35
Lithuania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,60
Lithuania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,5
Luxembourg,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,42
Luxembourg,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,47
Luxembourg,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,11
Latvia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,26
Latvia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,74
Latvia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,0
Malta,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,:
Malta,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,:
Malta,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,:
Netherlands,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,64
Netherlands,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,33
Netherlands,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,3
Poland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,29
Poland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,60
Poland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,11
Portugal,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,26
Portugal,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,60
Portugal,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,14
Romania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,13
Romania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,78
Romania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,9
Sweden,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,47
Sweden,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,50
Sweden,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,3
Slovenia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,21
Slovenia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,69
